ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_status,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,fator_nome,fator_aspecto,fator_condicionante,fator_area,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario
ACIDENTE,CAMANDUCAIA,MG,BRASIL,SNEJ,01/01/2020,21:00:00,FINALIZADA,1,NÃO,PPZCG,AVIÃO,***,P56,ZZZZ,***,SEM TRAÇÃO,660,660,0.0,0.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,J.C. PERALTA,J.C. PERALTA,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Divulgar os ensinamentos colhidos na presente investigação, com a finalidade de alertar os operadores e proprietários de aeronaves, quanto aos riscos associados à execução da atividade aérea sem a fiel observância das normas operacionais, regulamentos ou regras de tráfego aéreo, notadamente na operação com habilitação vencida e em aeródromo não cadastrado pela Agência.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,SBRJ,01/01/2023,22:15:00,FINALIZADA,1,NÃO,PRGGW,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,193.0,2010.0,BRASIL,BRASIL,AVIÃO,REGULAR,MINISTRO VICTOR KONDER,SANTOS DUMONT,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SCF-NP,,,,,,,,
ACIDENTE,CORURIPE,AL,BRASIL,***,01/02/2007,08:40:00,FINALIZADA,1,NÃO,PTUHI,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1993.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,USINA CORURIPE,USINA CORURIPE,VOO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,LONDRINA,PR,BRASIL,SBLO,01/02/2007,12:01:00,,1,NÃO,PPGMR,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1992.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,LEVE,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
ACIDENTE,SAPEZAL,MT,BRASIL,***,01/02/2007,20:40:00,FINALIZADA,1,NÃO,PTUNQ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2002.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,VOO A BAIXA ALTURA,AGRÍCOLA,***,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Promover a divulgação deste acidente aeronáutico junto a operadores e pilotos, tendo por objetivo disseminar os ensinamentos adquiridos, realçando que, mesmo quando a intensidade do vento requer o voo próximo à plantação, existem vantagens na manutenção de uma altura de segurança.",ADOTADA,SINDAG,SINDICATO NACIONAL DAS EMPRESAS DE AVIAÇÃO AGRÍCOLA
INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,BRASIL,***,01/02/2008,15:10:00,,1,NÃO,PTYZM,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1996.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,TÁXI AÉREO,NENHUM,0,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,,,,,,,,
INCIDENTE,SÃO PAULO,SP,BRASIL,SBSP,01/02/2009,17:02:00,,1,NÃO,PRGON,AVIÃO,BOEING COMPANY,737-76N,B737,JATO,BIMOTOR,61461,61461,153.0,1999.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
ACIDENTE,SANTO ANTÔNIO DO LEVERGER,MT,BRASIL,SWLV,01/02/2009,12:20:00,FINALIZADA,1,NÃO,PTDJA,AVIÃO,PIPER AIRCRAFT,PA-28R-180,P28R,PISTÃO,MONOMOTOR,1134,1134,4.0,1969.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,PRIVADA,DESTRUÍDA,3,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,"Que considerem a conveniência de divulgar, via e-mail, aos operadores de suas respectivas jurisdições, os filmetes produzidos pelo SERIPA VI sobre a importância da manutenção para a operação segura da aeronave.",ADOTADA,SERIPA-1,PRIMEIRO SERVIÇO REGIONAL DE INVESTIGAÇÃO E PREVENÇÃO DE ACIDENTES AERONÁUTICOS
INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,BRASIL,***,01/02/2012,12:30:00,FINALIZADA,1,NÃO,PRSEF,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2003.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,TÁXI AÉREO,NENHUM,0,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,OTHR,,,,,,,,
INCIDENTE,MACAÉ,RJ,BRASIL,***,01/02/2012,13:50:00,FINALIZADA,1,NÃO,PRMEU,HELICÓPTERO,EUROCOPTER DEUTSCHLAND,EC 135P2+,EC35,TURBOEIXO,BIMOTOR,2910,2910,8.0,2007.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,NENHUM,0,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC,,,,,,,,
INCIDENTE,MANICORÉ,AM,BRASIL,SBMY,01/02/2013,19:15:00,FINALIZADA,1,NÃO,PUAUC,ULTRALEVE,***,PARADISE P2,ULAC,PISTÃO,MONOMOTOR,750,750,2.0,2009.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,EXPERIMENTAL,LEVE,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
ACIDENTE,SANTO ANTÔNIO DO LEVERGER,MT,BRASIL,***,01/02/2014,12:20:00,FINALIZADA,1,NÃO,PTNQQ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711A,P28R,PISTÃO,MONOMOTOR,1202,1202,4.0,1979.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,SANTO ANTÔNIO DE LEVERGER,RONDONÓPOLIS,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PERCEPÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,"Certificar-se da correta aplicação dos critérios para aprovação de Pilotos em avaliações teóricas e práticas contidas na IS nº 00-002 revisão B ""Fichas de Avaliação de Piloto - FAP"", pelos Inspetores e/ou Examinadores da Aviação Civil.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,SOROCABA,SP,BRASIL,SDCO,01/02/2014,14:30:00,FINALIZADA,2,NÃO,PTMEO,AVIÃO,CESSNA AIRCRAFT,208B,C208,TURBOÉLICE,MONOMOTOR,4110,4110,11.0,1994.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,ADALBERTO MENDES DA SILVA,SOROCABA,TÁXI,TÁXI AÉREO,SUBSTANCIAL,0,COLISÃO COM AERONAVE NO SOLO,COLISÃO NO SOLO | COLISÃO COM AERONAVE NO SOLO,GCOL,PERCEPÇÃO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,"Atuar junto ao Operador do Aeródromo de Sorocaba (SDCO), SP, observando os requisitos estabelecidos nos Regulamentos Brasileiros de Aviação Civil (RBAC) nº 153 e 154, a fim de verificar se ainda persiste, naquele aeródromo, a situação de conflito identificada nesta investigação.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,COARI,AM,BRASIL,***,01/02/2014,19:16:00,FINALIZADA,1,NÃO,PROMK,HELICÓPTERO,SIKORSKY AIRCRAFT,S-61N,S61,TURBOEIXO,BIMOTOR,8618,8618,21.0,1980.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,TÁXI AÉREO,LEVE,0,COM LANÇAMENTO DE CARGA,OUTROS | COM LANÇAMENTO DE CARGA,OTHR,,,,,,,,
INCIDENTE,ATIBAIA,SP,BRASIL,SDTB,01/02/2014,20:00:00,FINALIZADA,1,NÃO,PUAZS,ULTRALEVE,***,TL-96 STAR,ULAC,PISTÃO,MONOMOTOR,450,450,2.0,2001.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,EXPERIMENTAL,LEVE,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
ACIDENTE,NOVA LIMA,MG,BRASIL,SJLY,01/02/2015,15:10:00,FINALIZADA,1,NÃO,PTHVO,HELICÓPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PISTÃO,MONOMOTOR,621,621,2.0,1990.0,BRASIL,BRASIL,HELICÓPTERO,INSTRUÇÃO,HELICENTRO BH,HELICENTRO BH,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,JULGAMENTO DE PILOTAGEM,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
INCIDENTE,SÃO PAULO,SP,BRASIL,***,01/02/2015,12:15:00,FINALIZADA,1,NÃO,PTIZS,AVIÃO,PIPER AIRCRAFT,PA-28-140,P28A,PISTÃO,MONOMOTOR,975,975,2.0,1973.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,CAMPO DE MARTE - SP,CAMPO DE MARTE - SP,MANOBRA,INSTRUÇÃO,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
ACIDENTE,FLORIANÓPOLIS,SC,BRASIL,***,01/02/2016,07:19:00,FINALIZADA,1,NÃO,PPLIG,AVIÃO,SOCATA,TBM700N,TBM7,TURBOÉLICE,MONOMOTOR,3354,3354,,2015.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,HERCÍLIO LUZ,JI-PARANÁ,SAÍDA IFR,PRIVADA,SUBSTANCIAL,2,INDETERMINADO,INDETERMINADO,UNK,,,,,,,,
ACIDENTE,SETE BARRAS,SP,BRASIL,***,01/02/2016,14:30:00,FINALIZADA,1,NÃO,PTOQV,AVIÃO,CHINCUL SACAIFI,PA-25-260,PA25,PISTÃO,MONOMOTOR,1315,1315,1.0,1992.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
ACIDENTE,PIRAQUARA,PR,BRASIL,***,01/02/2016,19:20:00,,1,NÃO,PUWNM,ULTRALEVE,***,FOX II,ULAC,PISTÃO,MONOMOTOR,417,417,2.0,1990.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,PIRAQUARA,PIRAQUARA,DECOLAGEM,PRIVADA,LEVE,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
ACIDENTE,GUAÍBA,RS,BRASIL,***,01/02/2017,11:50:00,FINALIZADA,1,SIM,PRNVC,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1905,1905,1.0,1974.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"ATUAR JUNTO à NITZ AVIAÇÃO AGRÍCOLA LTDA, A FIM DE REALIZAR NOVA PESAGEM NA AERONAVE.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,SÃO PAULO,SP,BRASIL,SBMT,01/02/2018,13:50:00,FINALIZADA,1,NÃO,PTECB,HELICÓPTERO,HELIBRAS,AS 350 B3,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,2013.0,BRASIL,BRASIL,HELICÓPTERO,PARTICULAR,CAMPO DE MARTE - SP,CAMPO DE MARTE - SP,OUTRA FASE,PRIVADA,LEVE,0,F.O.D.,OUTROS | F.O.D.,OTHR,,,,,,,,
ACIDENTE,MATA,RS,BRASIL,***,01/02/2018,18:10:00,FINALIZADA,1,NÃO,PRSUB,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1812,1812,1.0,1973.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,AGRÍCOLA,SUBSTANCIAL,0,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA,USOS,,,,,,,,
ACIDENTE,GOIÂNIA,GO,BRASIL,SBGO,01/02/2019,15:00:00,FINALIZADA,1,NÃO,PRWYN,AVIÃO,HAWKER BEECHCRAFT,G36,BE36,PISTÃO,MONOMOTOR,1656,1656,6.0,2011.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,ARAGARÇAS,SANTA GENOVEVA/GOIÂNIA,POUSO,PRIVADA,SUBSTANCIAL,0,POUSO BRUSCO,CONTATO ANORMAL COM A PISTA | POUSO BRUSCO,ARC,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,,,,
INCIDENTE GRAVE,CARAUARI,AM,BRASIL,SWCA,01/02/2019,12:28:00,FINALIZADA,1,NÃO,PRBRU,HELICÓPTERO,MIL HELICOPTER,MI-171A1,MI8,TURBOEIXO,BIMOTOR,13000,13000,30.0,2011.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,CARAUARI,FORA DE AERODROMO,ESTACIONAMENTO,TÁXI AÉREO,LEVE,0,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,"ATUAR JUNTO AO OPERADOR DO AERóDROMO DE SWCA, A FIM DE ASSEGURAR QUE AS OPERAçõES NAQUELA LOCALIDADE ESTEJAM DENTRO DOS NíVEIS ACEITáVEIS DE SEGURANçA OPERACIONAL, MORMENTE NO QUE SE REFERE AO PROCESSO DE IDENTIFICAçãO DE PERIGOS, ANáLISE E GERENCIAMENTO DO RISCO, BEM COMO AO PLANO DE EMERGêNCIA EM AERóDROMO (PLEM).",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,TEÓFILO OTONI,MG,BRASIL,***,01/02/2020,20:52:00,FINALIZADA,1,NÃO,PUFMD,ULTRALEVE,FAUD MIGUEL D'EPIRO,RV-9A,ULAC,PISTÃO,MONOMOTOR,750,750,2.0,2010.0,BRASIL,BRASIL,ULTRALEVE,PARTICULAR,JUSCELINO KUBITSCHECK,JUSCELINO KUBITSCHECK,MANOBRA,PRIVADA,DESTRUÍDA,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,,,,,,,,
INCIDENTE,FLORIANÓPOLIS,SC,BRASIL,SBFL,01/02/2020,15:41:00,FINALIZADA,1,NÃO,PRFLD,AVIÃO,CESSNA AIRCRAFT,152,C152,***,SEM TRAÇÃO,760,760,0.0,1979.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,HERCÍLIO LUZ,HERCÍLIO LUZ,TÁXI,INSTRUÇÃO,LEVE,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,,,,,,,,
INCIDENTE,PALMAS,TO,BRASIL,SBPJ,01/02/2020,14:00:00,FINALIZADA,1,NÃO,PRALI,AVIÃO,PIPER AIRCRAFT,PA-46-350P,PA46,PISTÃO,MONOMOTOR,1950,1950,6.0,2008.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,BALSAS,BRIGADEIRO LYSIAS RODRIGUES,CORRIDA APÓS POUSO,PRIVADA,LEVE,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE,CAMPINAS,SP,BRASIL,***,01/02/2020,02:12:00,FINALIZADA,1,NÃO,PSAEC,AVIÃO,EMBRAER,ERJ 190-400,***,***,SEM TRAÇÃO,0,0,0.0,0.0,BRASIL,BRASIL,AVIÃO,REGULAR,SALGADO FILHO,TANCREDO NEVES,CRUZEIRO,REGULAR,NENHUM,0,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,SCF-NP,,,,,,,,
